Episode,R_total,R_env,R_energy,R_passing,R_in_box,R_assist,R_role,R_approach
237,79.09485494771798,-1.0000001192092896,174.14485497752023,-117.0,0.0,0.0,22.9500007070601,0.0
238,8.893137704673325,0.0,10.843137704673325,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
239,118.76917846729431,0.0,166.74417846729438,-69.29999995231628,0.0,0.0,21.024999987334013,0.30000001192092896
240,6.129318461713723,0.0,7.454318461713724,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
241,6.123717181925246,0.0,7.448717181925245,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
242,59.44916871457517,0.0,80.0991687145752,-30.599999964237213,0.0,0.0,9.350000452250242,0.6000000238418579
243,107.07673160806652,-1.0000001192092896,145.77673163786886,-55.0,0.0,0.0,17.300000801682472,0.0
244,16.455845941782126,0.0,18.405845941782125,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
245,94.90495703679696,-1.0000001192092896,143.37995706659922,-61.0,0.0,0.0,13.52500044927001,0.0
246,7.700595598211136,0.0,9.025595598211135,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
247,62.11828055354369,0.0,102.64328055354366,-51.59999990463257,0.0,0.0,10.475000597536564,0.6000000238418579
248,120.11254247156232,-1.0000001192092896,155.2375425013648,-55.0,0.0,0.0,20.87500013783574,0.0
249,170.7983538540727,0.0,234.4233538540727,-95.0,0.0,0.0,31.375000964850187,0.0
250,73.35659105281299,-1.0000001192092896,183.40659108261536,-126.5,0.0,0.0,16.850000388920307,0.6000000238418579
251,95.90266848424602,-1.0000001192092896,168.3026685140484,-88.0,0.0,0.0,16.600000582635403,0.0
252,59.62090867349046,0.0,113.17090867349042,-72.29999995231628,0.0,0.0,18.450000543147326,0.30000001192092896
253,159.1524293059594,0.0,204.05242930595935,-67.0,0.0,0.0,22.100001253187656,0.0
254,8.866536009471218,0.0,10.816536009471218,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
255,9.674518681979459,0.0,8.999518681979458,0.0,0.0,0.0,0.3750000298023224,0.30000001192092896
256,176.5065356976497,-1.0000001192092896,288.40653572745174,-139.29999995231628,0.0,0.0,27.80000127479434,0.6000000238418579
257,9.570925061879024,0.0,10.895925061879023,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
258,275.64125089578135,-1.0000001192092896,340.5412509255835,-102.29999995231628,0.0,0.0,37.80000038817525,0.6000000238418579
